"adm1","area__ha","umd_tree_cover_extent_2000__ha","iso"
1,13363463.843185924,9097762.68080667,"USA"
2,150525616.13321927,50000791.368984975,"USA"
3,29535713.067800224,1808868.7131718462,"USA"
4,13769059.034247449,7696079.642511825,"USA"
5,40961694.290666,9842706.490672693,"USA"
6,26974269.375837013,4775318.189132567,"USA"
7,1289227.8033984913,1002004.1023310431,"USA"
8,529624.4507347085,169124.7527262309,"USA"
9,16607.294256519905,3776.0272696529846,"USA"
10,14745993.46151029,7424734.865570489,"USA"
11,15243415.415390665,9893278.872551005,"USA"
12,1672428.8635521259,659496.2955292687,"USA"
13,21643984.145436283,7251040.524098514,"USA"
14,15008781.128763113,2203741.1515072444,"USA"
15,9436269.467394473,2120555.0086256443,"USA"
16,14584483.203725312,1181709.307754253,"USA"
17,21312412.642401196,893151.0210282833,"USA"
18,10452628.17057668,5441915.252268385,"USA"
19,12073540.972523468,6310747.297296682,"USA"
20,8436323.287758097,7257541.222403462,"USA"
21,2566846.080624267,1238907.7314897906,"USA"
22,2102299.626156175,1565836.2795962063,"USA"
23,25036039.459515613,8668930.542584702,"USA"
24,22534484.30308143,8038473.176204742,"USA"
25,12354580.85865815,7738298.220695052,"USA"
26,18056895.59858,6744775.57836067,"USA"
27,38089679.17927852,7407747.366730283,"USA"
28,20020894.60454656,328269.4499720471,"USA"
29,28628390.77607213,652650.111209261,"USA"
30,2399771.8836416253,2091353.2581680892,"USA"
31,1969753.5138939393,1120296.6220174301,"USA"
32,31486424.76669251,2364104.8626325014,"USA"
33,13518668.082718153,8486300.9875025,"USA"
34,12781835.05248244,8063245.318060346,"USA"
35,18314183.6922699,401183.50126797677,"USA"
36,11993914.468001604,3554455.6091643423,"USA"
37,18104042.978481185,3432387.8173262477,"USA"
38,25141108.805935945,9721300.703756547,"USA"
39,11729832.583865192,7527016.12394074,"USA"
40,283337.9533506518,191226.97177101838,"USA"
41,8012426.524924494,5259858.434646199,"USA"
42,19974628.977100633,505273.360955301,"USA"
43,10918203.958466128,6210527.790393746,"USA"
44,68621326.86623777,8361270.786622474,"USA"
45,21983247.848679584,2022737.1171388766,"USA"
46,2494847.877949738,1986548.2206450412,"USA"
47,10374540.082365489,6958846.102949721,"USA"
48,17487417.912458345,8712860.615336819,"USA"
49,6268945.627245357,5153933.793841422,"USA"
50,16929671.156826016,7174479.833851845,"USA"
51,25329647.373874247,2659188.9047305537,"USA"
